x label,MPI Time,Memory time,CPU time,Total Time,x
n1_16p,4428.387,7650.725706,4870.920294,16967,0.21052632
n1_32p,3153.164,5716.449252,2984.386748,11854,0.42105263
n1_64p,839.705,5679.49945,2319.79555,8839,0.84210526
n2_32p,1275.309,3078.531279,1523.159721,5877,0.84210526
n2_64p,502.386,2868.836782,1154.777218,4526,1.68421053
n4_32p,528.164,1597.591628,776.244372,2902,1.68421053
n4_64p,306.99,1400.51112,566.49888,2274,3.36842105
n8_32p,277.534,776.351754,384.114246,1438,3.36842105
n8_64p,213.195,688.155015,263.649985,1165,6.73684211
