x label,MPI Time,Memory Time,CPU Time,Total Time,x
n1_16p,4428.387,7650.725706,4870.920294,16967,0.21052632
n1_32p,3153.164,5716.449252,2984.386748,11854,0.42105263
n2_32p,1275.309,3078.531279,1523.159721,5877,0.84210526
n4_32p,528.164,1597.591628,776.244372,2902,1.68421053
n8_32p,277.534,776.351754,384.114246,1438,3.36842105
n8_64p,213.195,688.155015,263.649985,1165,6.73684211
